"","GSR","RF","SUN","RH"
"GSR",1,-0.309059143196212,0.908705140502008,-0.34475536594691
"RF",-0.309059143196212,1,-0.293095494129556,0.325504025882701
"SUN",0.908705140502008,-0.293095494129556,1,-0.469702439267367
"RH",-0.34475536594691,0.325504025882701,-0.469702439267367,1
